,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
DP_73,0,0,44,103,0,170,2,3,0,7,670,0,0,2,14,0,18,1,9,74,590,0,0,73,1,0,0,0,0
DP_75,0,0,17,69,0,1,0,0,0,2,217,0,0,1,7,0,2,1,11,0,237,0,0,12,0,0,0,0,0
DP_77,0,1,197,28,0,5,4,0,0,12,737,8,0,1,1,0,8,12,4,0,129,19,0,71,0,0,12,0,0
DP_78,0,1,808,87,0,18,12,8,0,50,877,9,4,13,4,0,17,42,2,0,136,32,0,482,3,0,46,0,0
DP_80,0,0,21,46,0,0,0,0,0,2,256,0,0,3,9,0,1,1,0,0,211,0,0,14,1,0,1,0,0
DP_81,0,0,70,82,0,35,1,29,0,3,419,0,2,1,4,0,14,2,2,40,119,63,0,78,0,0,5,0,0
DP_85,0,0,37,69,0,9,0,0,0,2,503,0,0,2,19,0,23,1,12,56,294,19,0,13,1,0,14,0,0
DP_87,0,0,42,42,0,3,0,1,0,1,470,0,0,6,13,0,12,1,9,165,381,18,0,10,4,0,0,0,0
DP_89,0,2,70,99,0,2,0,0,0,12,354,1,1,9,8,0,1,7,5,85,234,5,0,44,3,0,5,0,0
DP_90,0,0,41,50,0,92,1,4,0,2,675,0,0,3,15,0,93,3,3,87,313,0,0,71,0,0,1,0,0
DP_91,0,1,27,96,0,6,1,0,0,1,553,0,0,2,13,0,28,3,4,134,240,17,0,26,0,0,0,0,0
DP_92,0,1,100,110,0,3,3,0,0,24,677,0,1,8,54,0,10,4,2,52,441,48,0,83,3,0,6,0,0
DP_96,0,3,189,113,0,13,2,0,0,7,1055,0,0,5,9,0,16,10,3,54,313,21,0,74,4,0,14,0,0
DP_97,0,2,42,39,0,19,0,0,0,4,396,0,0,0,7,0,0,4,6,11,200,36,0,9,0,0,0,0,0
DP_98,0,0,122,226,0,20,0,2,0,14,1312,0,0,9,47,0,2,2,12,32,881,0,0,75,3,0,3,0,0
DP_99,0,0,32,128,0,0,0,1,0,4,483,0,0,5,31,0,1,1,5,44,191,13,0,23,2,0,1,0,0
